Column1,Column2,Column3,Column4,Column5,Column1,Column2,Column3,Column4,Column5,Column5,
-32.19,-20,70,24,90,-32.19,-20,70,24,90,92,-55
-32.36,-18,70,24,90,-32.36,-18,70,24,90,92,
-32.47,-16,70,24,90,-32.47,-16,70,24,90,92,
-32.79,-14,70,24,90,-32.79,-14,70,24,90,92,
-33.39,-12,70,24,90,-33.39,-12,70,24,90,92,
-35.77,-10,70,24,90,-35.77,-10,70,24,90,92,-54
-42.56,-8,70,24,90,-42.56,-8,70,24,90,92,
-56.24,-6,70,24,90,-56.24,-6,70,24,90,92,
-41.53,-4,70,24,90,-41.53,-4,70,24,90,92,
-37.85,-2,70,24,90,-37.85,-2,70,24,90,92,
-34.97,0,70,24,90,-34.97,0,70,24,90,92,25
-32.09,2,70,24,90,-32.09,2,70,24,90,92,
-29.49,4,70,24,90,-29.49,4,70,24,90,92,
-26.94,6,70,24,90,-26.94,6,70,24,90,92,
-24.67,8,70,24,90,-24.67,8,70,24,90,92,
-23.06,10,70,24,90,-23.06,10,70,24,90,92,20
-22.05,12,70,24,90,-22.05,12,70,24,90,92,
-21.58,14,70,24,90,-21.58,14,70,24,90,92,
-21.41,16,70,24,90,-21.41,16,70,24,90,92,
-21.41,16,70,24,90,-21.41,16,70,24,90,92,
